Frequency,Amplitude
180000,6.695866745770363e-06
180100,9.017446960959975e-06
180200,3.4542714329255104e-06
180300,1.4311093399876604e-06
180400,7.1400604605463055e-06
180500,5.961468521991898e-06
180600,6.08062587063944e-06
180700,4.175036649420764e-06
180800,3.8109859852432042e-06
180900,3.3112349568797584e-06
181000,7.492024733635935e-06
181100,7.419690303373207e-06
181200,6.517692495720277e-06
181300,4.159725680863405e-06
181400,2.849088987654154e-06
181500,6.2404766711292695e-06
181600,6.558298723136452e-06
181700,4.784029222861478e-06
181800,4.9428113780844e-06
181900,9.126250581409947e-06
182000,4.771110624112452e-06
182100,2.3177023178870655e-06
182200,5.0093960807818e-06
182300,4.474946712503272e-06
182400,6.602099552527213e-06
182500,6.380016645881329e-06
182600,5.872716739781497e-06
182700,5.26239472202928e-06
182800,2.474413942242541e-06
182900,5.201075241161964e-06
183000,5.096189938763774e-06
183100,5.93254982243998e-06
183200,4.738946329768651e-06
183300,5.827076779793859e-06
183400,2.5314510013740737e-06
183500,5.025440926775413e-06
183600,5.449510218548299e-06
183700,7.1231551905853355e-06
183800,3.1662009558895307e-06
183900,5.943960125159263e-06
184000,5.317240923831875e-06
184100,5.325477502941273e-06
184200,3.4216667306923258e-06
184300,6.201155140194878e-06
184400,2.0981162478438736e-06
184500,7.023427034500417e-06
184600,6.051456241696703e-06
184700,6.0549756380681645e-06
184800,6.455279008042837e-06
184900,4.222190189768105e-06
185000,6.826534156139032e-06
185100,2.9946857591217665e-06
185200,4.501244587767285e-06
185300,3.7243307675256144e-06
185400,4.925286837314734e-06
185500,6.718857799073519e-06
185600,5.442822859064917e-06
185700,3.413125125179017e-06
185800,5.9549254913465015e-06
185900,2.2120026423901855e-06
186000,6.560398791191051e-06
186100,4.753263563134327e-06
186200,4.5523172428981735e-06
186300,8.997950600049142e-06
186400,3.6499140714091206e-06
186500,6.25850858007089e-06
186600,3.423870646939767e-06
186700,7.145086476774435e-06
186800,2.6021924103142205e-06
186900,7.16930079884159e-06
187000,6.345609638422036e-06
187100,2.7140100731834934e-06
187200,4.784231772960258e-06
187300,1.8500593145509448e-06
187400,2.705796575666854e-06
187500,5.451288117881946e-06
187600,5.112452290816232e-06
187700,9.396391461750983e-06
187800,6.517603289357408e-06
187900,2.879692213430892e-06
188000,3.4769501110367522e-06
188100,3.755042420144892e-06
188200,5.463490739011072e-06
188300,2.162112626833163e-06
188400,5.899700295014917e-06
188500,5.767692655796837e-06
188600,6.709245549761512e-06
188700,4.878915166057046e-06
188800,2.202993621270237e-06
188900,3.899401428243039e-06
189000,8.020734512060526e-06
189100,7.040387546982254e-06
189200,7.3835904994280086e-06
189300,5.148770820082546e-06
189400,4.5495557182691575e-06
189500,1.701172833171341e-06
189600,3.41573611399636e-06
189700,3.4894989808562634e-06
189800,9.819816772820246e-06
189900,2.839796464277832e-06
190000,2.8565565620167857e-06
190100,4.093643857493377e-06
190200,5.914713862266092e-06
190300,5.1830864595707576e-06
190400,6.0231998146891856e-06
190500,6.017278911811965e-06
190600,6.48337688631932e-06
190700,6.629449266216754e-06
190800,2.623190597642995e-06
190900,4.324876796389477e-06
191000,6.880183516864054e-06
191100,2.0326335954485927e-06
191200,6.908674497815012e-06
191300,4.2001102884318876e-06
191400,6.345849268174807e-06
191500,6.702429366659909e-06
191600,4.3221217208520166e-06
191700,4.379900289444165e-06
191800,3.855164880707358e-06
191900,3.4516075304741052e-06
192000,4.3824319491840335e-06
192100,3.338603742623834e-06
192200,3.6781837368203845e-06
192300,2.1787144689312072e-06
192400,5.5441417774361544e-06
192500,1.5483059513029858e-06
192600,1.7124664490735035e-06
192700,8.267389825561754e-06
192800,6.222303859507837e-06
192900,3.826574214330744e-06
193000,6.872332996118926e-06
193100,6.177897697675506e-06
193200,7.070822383669869e-06
193300,4.256949966280004e-06
193400,4.86194838191054e-06
193500,4.799473217098924e-06
193600,7.868359285381126e-06
193700,6.711460540469195e-06
193800,3.473488219506211e-06
193900,1.873978635114132e-05
194000,5.531192654824418e-06
194100,6.042911528237271e-06
194200,5.265611968217212e-06
194300,4.2175445121017096e-06
194400,3.428587311794548e-06
194500,4.3934806283967434e-06
194600,5.054461705013321e-06
194700,4.51458209854233e-06
194800,4.22018416705701e-06
194900,4.126119770651357e-06
195000,8.305801584101193e-06
195100,5.932228158431587e-06
195200,6.208968297199933e-06
195300,5.4187207481000394e-06
195400,3.0370344214621117e-06
195500,3.665800898696759e-06
195600,5.004039345590803e-06
195700,4.900735419707995e-06
195800,3.834754730700374e-06
195900,3.3803572979324925e-06
196000,5.04824625348713e-06
196100,4.645251635067573e-06
196200,6.077339655390241e-06
196300,7.360459979286934e-06
196400,4.574219059390769e-06
196500,5.874569577665743e-06
196600,5.428209652024055e-06
196700,1.7587978441061957e-06
196800,2.832926790620056e-06
196900,4.5236870142537636e-06
197000,8.262454685979284e-06
197100,4.686656668817071e-06
197200,6.104507922187215e-06
197300,1.4187533348529016e-06
197400,7.741237040063675e-06
197500,8.687638230140944e-06
197600,7.76664866368932e-06
197700,1.275554606614592e-06
197800,5.892524520941597e-06
197900,6.360468362051843e-06
198000,6.338929253224253e-06
198100,2.919410436233472e-06
198200,6.634796928634861e-06
198300,5.865683326055878e-06
198400,1.3334386172168703e-06
198500,4.656589160480229e-06
198600,3.247297657102808e-06
198700,7.889473790056841e-06
198800,7.340390992853778e-06
198900,3.5079703977799414e-06
199000,3.66908134176336e-06
199100,5.688620496452398e-06
199200,1.0629027199023291e-05
199300,1.2011434957540844e-05
199400,0.00014184441382294495
199500,5.44865194206547e-05
199600,0.00013329595764030057
199700,0.0004273440505402337
199800,0.002150345890126262
199900,0.02449637013080014
200000,0.035270706890550264
200100,0.025355439672230595
200200,0.0022344945179962467
200300,0.00044153695640667166
200400,0.00013977578304226026
200500,5.904330733784065e-05
200600,3.172393373369868e-05
200700,1.4961640796183913e-05
200800,1.0159875777199987e-05
200900,1.1423993643845287e-05
201000,9.288585504150692e-06
201100,4.295226995369382e-06
201200,4.178595190167021e-06
201300,2.6972319858248543e-06
201400,6.735080149425741e-06
201500,2.0785847828571846e-06
201600,3.721367448523919e-06
201700,4.837368275246615e-06
201800,4.177902993469959e-06
201900,1.5057300301358282e-06
202000,3.943803313123136e-06
202100,4.345180557465788e-06
202200,8.328472554935147e-06
202300,7.489837556247272e-06
202400,3.3361424176374526e-06
202500,5.627086787844923e-06
202600,5.848762507127765e-06
202700,4.514800039079978e-06
202800,5.7216474857175375e-06
202900,5.51761065238977e-06
203000,4.356641966620239e-06
203100,5.540784912436477e-06
203200,6.641695989224375e-06
203300,6.523874496087307e-06
203400,7.0309561909892055e-06
203500,5.779472296038523e-06
203600,4.822243514167149e-06
203700,7.222057418182759e-06
203800,3.7637626617729792e-06
203900,6.595522995082825e-06
204000,5.833796425936256e-06
204100,3.6607220089016227e-06
204200,2.5336584700387847e-06
204300,5.6249669125839095e-06
204400,5.270190887602063e-06
204500,3.410415969301258e-06
204600,3.4051750748864602e-06
204700,5.335542999019307e-06
204800,8.799739356149676e-06
204900,5.468672765138104e-06
205000,6.362066678743002e-06
205100,1.8839161615674402e-06
205200,4.0704859150812526e-06
205300,7.717229348695059e-06
205400,7.94690003897254e-06
205500,8.481094219801566e-06
